Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;-5;Stride;0.18;-;5.13;2.92;549;-1.16 (L) ;1.49 (B) ;;3.43;
;-4;Stride;0.12;-;4.42;3.06;500;2.93 (R) ;1.39 (B) ;;3.52;
;-3;Stride;0.08;-;3.75;2.99;450;0.06 (R) ;-0.45 (F) ;;1.93;
;-2;Stride;0.09;-;3.69;1.95;451;1.83 (R) ;-5.49 (F) ;;1.5;
;-1;Stride;0.11;-;3.83;2.99;522;0.45 (R) ;-3.44 (F) ;;2.42;
1;6;Jump;-;1.58;8.58;4.76;542;-2.37 (L) ;undefined ;32.46;7.61;
;1;Stride;0.04;-;2.25;2.18;482;1.38 (R) ;-1.07 (F) ;;1.8;
;2;Stride;0.05;-;4.16;2.88;463;9.17 (R) ;2.54 (B) ;;2;
;3;Stride;0.07;-;4.2;2.92;504;8.24 (R) ;0.77 (B) ;;1.81;
;4;Stride;0.1;-;4.62;3.72;533;9.27 (R) ;1.45 (B) ;;2.86;
;5;Stride;0.09;-;4.82;3.2;590;4.12 (R) ;1.74 (B) ;;3.02;
;-5;Stride;0.16;-;5.09;5.16;566;3.2 (R) ;-7.46 (F) ;;4.38;
;-4;Stride;0.12;-;4.79;3.49;523;4.78 (R) ;-8.99 (F) ;;3.46;
;-3;Stride;0.09;-;3.55;2.77;496;1.5 (R) ;-13.09 (F) ;;1.4;
;-2;Stride;0.17;-;5.02;3.54;519;0.12 (R) ;-4.58 (F) ;;4.55;
;-1;Stride;0.1;-;4;3.24;545;-5.25 (L) ;-5.75 (F) ;;1.98;
2;7;Jump;-;1.67;9.83;4.67;562;-5.61 (L) ;undefined ;31.81;8.12;
;1;Stride;0.06;-;1.51;2.77;476;-8.37 (L) ;-17.86 (F) ;;1.64;
;2;Stride;0.08;-;4.76;2.82;510;2.22 (R) ;-2.64 (F) ;;1.95;
;3;Stride;0.09;-;4.23;3.42;529;5.2 (R) ;-5.03 (F) ;;2.19;
;4;Stride;0.1;-;4.93;3.3;559;4.55 (R) ;-2.17 (F) ;;2.74;
;5;Stride;0.09;-;5.17;3.52;608;-1.26 (L) ;-1.29 (F) ;;2.84;
;-5;Stride;0.13;-;5.32;4.59;614;12.25 (R) ;0.29 (B) ;;2.81;
;-4;Stride;0.14;-;5.97;4.55;651;13.44 (R) ;5.7 (B) ;;4.79;
;-3;Stride;0.08;-;4.59;1.75;599;12.31 (R) ;0.67 (B) ;;1.89;
;-2;Stride;0.15;-;4.99;3.99;565;12.03 (R) ;3.59 (B) ;;4.15;
;-1;Stride;0.1;-;4.12;3.83;562;13.82 (R) ;1.86 (B) ;;2.69;
3;8;Jump;-;1.67;8.96;5.38;522;10.91 (R) ;undefined ;39.13;7.44;
;1;Stride;0.06;-;2.11;3.35;421;12.26 (R) ;-2.26 (F) ;;1.81;
;2;Stride;0.06;-;3.75;1.83;469;10.67 (R) ;0.16 (B) ;;1.6;
;3;Stride;0.09;-;4.3;3.15;505;5.78 (R) ;2.02 (B) ;;2.61;
;4;Stride;0.1;-;4.9;4.48;565;-0.98 (L) ;3.86 (B) ;;3.57;
;5;Stride;0.08;-;5.29;5.01;623;-0.02 (L) ;5.69 (B) ;;3.25;
;-5;Stride;0.14;-;6.31;6.52;688;-10.81 (L) ;-4.84 (F) ;;4.93;
;-4;Stride;0.12;-;5.45;5.52;667;-1.83 (L) ;-1.79 (F) ;;3.32;
;-3;Stride;0.11;-;4.99;5.01;587;2.05 (R) ;-5.94 (F) ;;3.28;
;-2;Stride;0.12;-;5.11;3.01;601;-1.77 (L) ;-3.61 (F) ;;3.71;
;-1;Stride;0.1;-;5.19;4.16;599;0.18 (R) ;-2.27 (F) ;;3;
4;9;Jump;-;1.68;10.12;5.16;584;1.92 (R) ;undefined ;39.36;10.56;
;1;Stride;0.01;-;2.36;3.51;507;2.98 (R) ;2.17 (B) ;;2.4;
;2;Stride;0.06;-;4.24;2.91;529;5.46 (R) ;1.82 (B) ;;2.42;
;3;Stride;0.11;-;5.04;4.36;593;-2.12 (L) ;4.46 (B) ;;2.76;
;4;Stride;0.09;-;5.29;3.52;648;-6.39 (L) ;3.67 (B) ;;4.1;
;5;Stride;0.07;-;4.87;1.54;636;-0.99 (L) ;6.2 (B) ;;2.41;
;-5;Stride;0.14;-;5.31;3.12;613;2.59 (R) ;6.84 (B) ;;3.3;
;-4;Stride;0.15;-;5.39;3.22;588;0.74 (R) ;9.94 (B) ;;3.3;
;-3;Stride;0.12;-;5.06;2.73;584;2.07 (R) ;12.77 (B) ;;2.97;
;-2;Stride;0.1;-;4.77;2.74;584;4.64 (R) ;16.91 (B) ;;2.42;
;-1;Stride;0.06;-;3.96;2.63;579;9.39 (R) ;16.25 (B) ;;1.8;
5a;10;Jump;-;1.62;9.22;4.35;559;3.42 (R) ;undefined ;50.03;7.15;
;1;Stride;0.02;-;0.34;6.23;510;6.4 (R) ;-6.98 (F) ;;2.09;
;2;Stride;0.04;-;2.73;3.43;545;3.03 (R) ;11.34 (B) ;;2.06;
;3;Stride;0.09;-;4.37;2.38;546;-0.16 (L) ;12.55 (B) ;;2.23;
;4;Stride;0.1;-;4.48;2.35;572;-10.32 (L) ;13.41 (B) ;;2.62;
;5;Stride;0.1;-;5.35;1.78;563;-6.98 (L) ;17.17 (B) ;;2.62;
;-5;Stride;0.09;-;4.37;2.38;546;-0.16 (L) ;12.55 (B) ;;2.23;
