Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
3230;1637.29;550 ms;1 G;canter;103 m/min;7 cm;0.94 m;R;6.5 º (R);4.4 º (B);205.32;
3231;1637.76;470 ms;1 G;canter;71 m/min;6 cm;0.56 m;R;12.1 º (R);-0.6 º (F);191.9;
3232;1638.3;540 ms;1.4 G;canter;74 m/min;5 cm;0.67 m;R;5.4 º (R);8.8 º (B);265.31;
3233;1638.76;460 ms;2 G;canter;159 m/min;4 cm;1.22 m;R;3.4 º (R);12.5 º (B);352.81;
3234;1639.44;680 ms;3 G;canter;294 m/min;6 cm;3.33 m;S;-0.4 º (L);16.9 º (B);943;
3235;1639.96;520 ms;2.9 G;canter;442 m/min;6 cm;3.83 m;L;-10.7 º (L);9.6 º (B);1204.99;
3236;1640.4;440 ms;1.8 G;canter;502 m/min;6 cm;3.68 m;L;-10.5 º (L);6.9 º (B);900.21;
3237;1640.96;560 ms;3.3 G;canter;545 m/min;15 cm;5.09 m;L;-10.6 º (L);9.3 º (B);2449.43;
3238;1641.51;550 ms;3.2 G;canter;589 m/min;14 cm;5.4 m;L;-10.7 º (L);5.6 º (B);2445.34;
3239;1642.03;520 ms;3.1 G;canter;567 m/min;14 cm;4.92 m;L;-7.2 º (L);3 º (B);2381.37;
3240;1642.59;560 ms;2.9 G;canter;549 m/min;18 cm;5.13 m;S;-1.2 º (L);1.5 º (B);2565.89;
3241;1643.12;530 ms;3.1 G;canter;500 m/min;12 cm;4.42 m;S;2.9 º (R);1.4 º (B);2631.77;
3242;1643.62;500 ms;3 G;canter;450 m/min;8 cm;3.75 m;S;0.1 º (R);-0.4 º (F);1445.23;
3243;1644.11;490 ms;2 G;canter;451 m/min;9 cm;3.69 m;R;1.8 º (R);-5.5 º (F);1119.64;
3244;1644.55;440 ms;3 G;canter;522 m/min;11 cm;3.83 m;S;0.5 º (R);-3.4 º (F);1805.54;
3245;1645.78;280 ms;2.2 G;canter;482 m/min;4 cm;2.25 m;S;1.4 º (R);-1.1 º (F);1341.34;
3246;1646.32;540 ms;2.9 G;canter;463 m/min;5 cm;4.16 m;R;9.2 º (R);2.5 º (B);1496.24;
3247;1646.82;500 ms;2.9 G;canter;504 m/min;7 cm;4.2 m;R;8.2 º (R);0.8 º (B);1352.05;
3248;1647.34;520 ms;3.7 G;canter;533 m/min;10 cm;4.62 m;R;9.3 º (R);1.5 º (B);2133.47;
3249;1647.83;490 ms;3.2 G;canter;590 m/min;9 cm;4.82 m;R;4.1 º (R);1.7 º (B);2257.54;
3250;1648.35;520 ms;3.8 G;canter;614 m/min;8 cm;5.32 m;S;-0.2 º (L);2.6 º (B);1737.59;
3251;1648.85;500 ms;3.6 G;canter;654 m/min;10 cm;5.45 m;L;-2.5 º (L);1.4 º (B);2689.45;
3252;1649.39;540 ms;4.1 G;canter;651 m/min;12 cm;5.86 m;S;-1 º (L);0.4 º (B);3739.61;
3253;1649.89;500 ms;4.2 G;canter;654 m/min;8 cm;5.45 m;S;4.6 º (R);0.7 º (B);2133.04;
3254;1650.42;530 ms;3.5 G;canter;634 m/min;13 cm;5.6 m;R;6.1 º (R);-1.4 º (F);2864.17;
3255;1650.94;520 ms;5.6 G;canter;634 m/min;10 cm;5.49 m;R;5.6 º (R);-2.8 º (F);2741.99;
3256;1651.45;510 ms;4 G;canter;686 m/min;11 cm;5.83 m;R;4.8 º (R);-1.7 º (F);3312.29;
3257;1651.95;500 ms;4.6 G;canter;690 m/min;10 cm;5.75 m;R;7.7 º (R);-3.6 º (F);2932.8;
3258;1652.51;560 ms;4.8 G;canter;655 m/min;13 cm;6.11 m;R;9.9 º (R);-1.9 º (F);4206.24;
3259;1652.99;480 ms;3.8 G;canter;651 m/min;10 cm;5.21 m;R;6.6 º (R);-6.7 º (F);2516.85;
3260;1653.54;550 ms;5.7 G;canter;640 m/min;16 cm;5.86 m;R;6.3 º (R);-5.1 º (F);3955.99;
3261;1654.03;490 ms;3.4 G;canter;620 m/min;12 cm;5.07 m;R;10.3 º (R);-8.6 º (F);2853.83;
3262;1654.6;570 ms;3.6 G;canter;592 m/min;16 cm;5.62 m;R;7.2 º (R);-7.7 º (F);3411.57;
3263;1655.11;510 ms;3.8 G;canter;571 m/min;12 cm;4.85 m;R;3.7 º (R);-8.1 º (F);2688.37;
3264;1655.67;560 ms;4.1 G;canter;586 m/min;15 cm;5.47 m;R;5.7 º (R);-6.9 º (F);3569.02;
3265;1656.15;480 ms;3.4 G;canter;519 m/min;8 cm;4.15 m;R;7.2 º (R);-11.1 º (F);1891.41;
3266;1656.72;570 ms;3.9 G;canter;535 m/min;19 cm;5.08 m;R;4.7 º (R);-8.9 º (F);3201.28;
3267;1657.26;540 ms;5.2 G;canter;566 m/min;16 cm;5.09 m;R;3.2 º (R);-7.5 º (F);3274.31;
3268;1657.81;550 ms;3.5 G;canter;523 m/min;12 cm;4.79 m;R;4.8 º (R);-9 º (F);2584.21;
3269;1658.24;430 ms;2.8 G;canter;496 m/min;9 cm;3.55 m;R;1.5 º (R);-13.1 º (F);1048.56;
3270;1658.82;580 ms;3.5 G;canter;519 m/min;17 cm;5.02 m;S;0.1 º (R);-4.6 º (F);3400.32;
3271;1659.26;440 ms;3.2 G;canter;545 m/min;10 cm;4 m;S;-5.2 º (L);-5.7 º (F);1482.47;
3272;1660.5;190 ms;2.8 G;canter;476 m/min;6 cm;1.51 m;L;-8.4 º (L);-17.9 º (F);1227.02;
3273;1661.06;560 ms;2.8 G;canter;510 m/min;8 cm;4.76 m;S;2.2 º (R);-2.6 º (F);1454.88;
3274;1661.54;480 ms;3.4 G;canter;529 m/min;9 cm;4.23 m;R;5.2 º (R);-5 º (F);1634.12;
3275;1662.07;530 ms;3.3 G;canter;559 m/min;10 cm;4.93 m;R;4.6 º (R);-2.2 º (F);2044.24;
3276;1662.58;510 ms;3.5 G;canter;608 m/min;9 cm;5.17 m;S;-1.3 º (L);-1.3 º (F);2119.5;
3277;1663.07;490 ms;3.3 G;canter;668 m/min;8 cm;5.45 m;L;-6.6 º (L);-0.4 º (F);2151.23;
3278;1663.59;520 ms;4 G;canter;690 m/min;9 cm;5.98 m;L;-8.2 º (L);-1.8 º (F);2919.6;
3279;1664.1;510 ms;4.3 G;canter;687 m/min;10 cm;5.84 m;S;-3.1 º (L);-5 º (F);3738.94;
3280;1664.6;500 ms;3.3 G;canter;634 m/min;10 cm;5.29 m;R;1.7 º (R);-4.7 º (F);2089.11;
3281;1665.15;550 ms;4.5 G;canter;657 m/min;14 cm;6.02 m;S;1.7 º (R);-4 º (F);3612.44;
3282;1665.64;490 ms;4.7 G;canter;683 m/min;9 cm;5.58 m;S;2.6 º (R);-4.3 º (F);2633.48;
3283;1666.17;530 ms;5.1 G;canter;665 m/min;11 cm;5.87 m;R;3.7 º (R);-3.8 º (F);3378.7;
3284;1666.72;550 ms;6.3 G;canter;638 m/min;11 cm;5.85 m;R;4.5 º (R);-2.9 º (F);3735.38;
3285;1667.24;520 ms;5.6 G;canter;687 m/min;11 cm;5.95 m;S;3 º (R);-2.9 º (F);3498.87;
3286;1667.71;470 ms;2.8 G;canter;665 m/min;10 cm;5.21 m;R;6 º (R);-4.6 º (F);2124.79;
3287;1668.22;510 ms;4.6 G;canter;670 m/min;13 cm;5.69 m;R;6.9 º (R);-3 º (F);3136.06;
3288;1668.77;550 ms;6.2 G;canter;634 m/min;13 cm;5.81 m;R;6.3 º (R);-2.6 º (F);3923.67;
3289;1669.26;490 ms;2.1 G;canter;639 m/min;12 cm;5.22 m;R;6.6 º (R);-2.3 º (F);2327.32;
3290;1669.76;500 ms;4.4 G;canter;627 m/min;11 cm;5.22 m;R;6.7 º (R);-1.1 º (F);2761.78;
3291;1670.27;510 ms;5 G;canter;633 m/min;12 cm;5.38 m;R;7.3 º (R);-0.9 º (F);3190.87;
3292;1670.83;560 ms;3.5 G;canter;637 m/min;14 cm;5.95 m;R;8.7 º (R);0.3 º (B);3844.12;
3293;1671.35;520 ms;4.6 G;canter;614 m/min;13 cm;5.32 m;R;12.3 º (R);0.3 º (B);2103.13;
3294;1671.9;550 ms;4.6 G;canter;651 m/min;14 cm;5.97 m;R;13.4 º (R);5.7 º (B);3577.68;
3295;1672.36;460 ms;1.8 G;canter;599 m/min;8 cm;4.59 m;R;12.3 º (R);0.7 º (B);1413.13;
3296;1672.89;530 ms;4 G;canter;565 m/min;15 cm;4.99 m;R;12 º (R);3.6 º (B);3100.41;
3297;1673.33;440 ms;3.8 G;canter;562 m/min;10 cm;4.12 m;R;13.8 º (R);1.9 º (B);2007.38;
3298;1674.66;300 ms;3.4 G;canter;421 m/min;6 cm;2.11 m;R;12.3 º (R);-2.3 º (F);1352.23;
3299;1675.14;480 ms;1.8 G;canter;469 m/min;6 cm;3.75 m;R;10.7 º (R);0.2 º (B);1191.93;
3300;1675.65;510 ms;3.2 G;canter;505 m/min;9 cm;4.3 m;R;5.8 º (R);2 º (B);1951.93;
3301;1676.17;520 ms;4.5 G;canter;565 m/min;10 cm;4.9 m;S;-1 º (L);3.9 º (B);2669.4;
3302;1676.68;510 ms;5 G;canter;623 m/min;8 cm;5.29 m;S;0 º (L);5.7 º (B);2426.8;
3303;1677.16;480 ms;2.1 G;canter;638 m/min;8 cm;5.11 m;R;5.4 º (R);5.4 º (B);2272.58;
3304;1677.68;520 ms;3.9 G;canter;660 m/min;9 cm;5.72 m;R;5.1 º (R);7.2 º (B);3548.61;
3305;1678.19;510 ms;2.6 G;canter;671 m/min;10 cm;5.71 m;R;4.7 º (R);5.6 º (B);2478.78;
3306;1678.72;530 ms;6.2 G;canter;680 m/min;10 cm;6.01 m;R;6.6 º (R);3.3 º (B);3918.61;
3307;1679.23;510 ms;2.6 G;canter;670 m/min;9 cm;5.7 m;R;4.7 º (R);0.6 º (B);2261.65;
3308;1679.73;500 ms;4.9 G;canter;689 m/min;9 cm;5.74 m;S;0.4 º (R);-1.8 º (F);3176.23;
3309;1680.23;500 ms;5.2 G;canter;723 m/min;12 cm;6.03 m;S;-1.1 º (L);0.4 º (B);3514.13;
3310;1680.73;500 ms;4.7 G;canter;729 m/min;10 cm;6.07 m;L;-3 º (L);-2.1 º (F);3632.94;
3311;1681.25;520 ms;3.8 G;canter;742 m/min;11 cm;6.43 m;S;0.3 º (R);1.5 º (B);3688.5;
3312;1681.74;490 ms;2.8 G;canter;721 m/min;10 cm;5.89 m;R;5.2 º (R);-0.6 º (F);2902.31;
3313;1682.27;530 ms;4.9 G;canter;704 m/min;11 cm;6.22 m;R;8.8 º (R);2.5 º (B);3600.01;
3314;1682.77;500 ms;5.5 G;canter;689 m/min;11 cm;5.74 m;R;9.5 º (R);1.7 º (B);3252.99;
3315;1683.31;540 ms;5.8 G;canter;691 m/min;12 cm;6.22 m;R;10.4 º (R);1.5 º (B);4198.74;
3316;1683.77;460 ms;2.8 G;canter;692 m/min;10 cm;5.3 m;R;9.3 º (R);-0.3 º (F);2267.86;
3317;1684.3;530 ms;4.6 G;canter;685 m/min;12 cm;6.05 m;R;7 º (R);1.5 º (B);5348.04;
3318;1684.8;500 ms;3.9 G;canter;658 m/min;7 cm;5.49 m;R;8.4 º (R);-2 º (F);1964.57;
3319;1685.33;530 ms;4.1 G;canter;609 m/min;12 cm;5.38 m;R;10.7 º (R);-6.8 º (F);4115.68;
3320;1685.86;530 ms;4 G;canter;569 m/min;15 cm;5.03 m;R;17.3 º (R);-3.6 º (F);2648.94;
3321;1686.41;550 ms;3.1 G;canter;519 m/min;15 cm;4.76 m;R;20.3 º (R);-4.8 º (F);2787.93;
