Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
1077;568.53;1120 ms;0.5 G;canter;75 m/min;12 cm;1.4 m;R;5.8 º (R);0.8 º (B);0.85;
1078;569.06;530 ms;0.4 G;canter;67 m/min;6 cm;0.59 m;R;9.9 º (R);0.4 º (B);0;
1079;569.46;400 ms;0.8 G;canter;99 m/min;6 cm;0.66 m;R;9.2 º (R);0.6 º (B);64.2;
1080;569.99;530 ms;1 G;canter;161 m/min;4 cm;1.43 m;R;9.6 º (R);6.5 º (B);224.85;
1081;570.51;520 ms;1.3 G;canter;222 m/min;4 cm;1.93 m;R;8.3 º (R);10.8 º (B);391.61;
1082;571.01;500 ms;2 G;canter;254 m/min;5 cm;2.12 m;R;6.1 º (R);9.7 º (B);405.4;
1083;571.46;450 ms;1.7 G;canter;327 m/min;4 cm;2.46 m;R;5 º (R);4.3 º (B);321.5;
1084;572.02;560 ms;2.2 G;canter;369 m/min;12 cm;3.45 m;S;-2.6 º (L);3.6 º (B);1022.86;
1085;572.5;480 ms;2.3 G;canter;425 m/min;8 cm;3.4 m;S;-3.4 º (L);0.5 º (B);986.78;
1086;573;500 ms;2.4 G;canter;467 m/min;9 cm;3.89 m;S;-1.4 º (L);2.8 º (B);1204.23;
1087;573.5;500 ms;3.7 G;canter;498 m/min;11 cm;4.15 m;L;-2.8 º (L);0.3 º (B);1901.76;
1088;574.04;540 ms;3.5 G;canter;518 m/min;15 cm;4.67 m;S;-1.4 º (L);0.3 º (B);2239.87;
1089;574.58;540 ms;4.7 G;canter;504 m/min;14 cm;4.54 m;S;0 º (L);-0.5 º (F);2024.35;
1090;575.09;510 ms;3.8 G;canter;512 m/min;12 cm;4.35 m;S;0.9 º (R);-0.5 º (F);1983.87;
1091;575.64;550 ms;3.7 G;canter;500 m/min;15 cm;4.58 m;S;0.7 º (R);1.3 º (B);2241.63;
1092;576.13;490 ms;3.9 G;canter;533 m/min;12 cm;4.35 m;R;1.6 º (R);0.3 º (B);2130.08;
1093;576.52;390 ms;2.5 G;canter;506 m/min;7 cm;3.29 m;R;2.5 º (R);-3.7 º (F);1320.08;
1094;577.54;40 ms;3.4 G;canter;598 m/min;0 cm;0.4 m;R;6.7 º (R);-22.2 º (F);757.8;
1095;577.83;290 ms;3 G;canter;553 m/min;3 cm;2.67 m;R;5.4 º (R);1.9 º (B);1493.59;
1096;578.31;480 ms;1.3 G;canter;514 m/min;2 cm;4.11 m;R;7.5 º (R);3.6 º (B);882.09;
1097;578.79;480 ms;2.9 G;canter;522 m/min;4 cm;4.18 m;R;3.8 º (R);0.9 º (B);1068.54;
1098;579.27;480 ms;2.9 G;canter;557 m/min;6 cm;4.45 m;R;4 º (R);-1.5 º (F);1517.56;
1099;579.78;510 ms;2.5 G;canter;596 m/min;7 cm;5.07 m;R;3.1 º (R);0.3 º (B);1909.61;
1100;580.27;490 ms;2.7 G;canter;603 m/min;7 cm;4.92 m;S;1.4 º (R);0.4 º (B);1862.84;
1101;580.76;490 ms;3.1 G;canter;620 m/min;8 cm;5.06 m;S;1.5 º (R);-1 º (F);1689.83;
1102;581.25;490 ms;3 G;canter;629 m/min;9 cm;5.13 m;S;1.1 º (R);-1.8 º (F);1960.68;
1103;581.78;530 ms;3.2 G;canter;642 m/min;11 cm;5.67 m;S;2.3 º (R);-1.2 º (F);2724.34;
1104;582.28;500 ms;2.9 G;canter;643 m/min;10 cm;5.36 m;S;2.5 º (R);-1.6 º (F);2374.82;
1105;582.79;510 ms;3.7 G;canter;640 m/min;10 cm;5.44 m;S;3.8 º (R);-3.2 º (F);2533.68;
1106;583.26;470 ms;3.4 G;canter;642 m/min;9 cm;5.03 m;S;1.5 º (R);-2.8 º (F);1928.06;
1107;583.81;550 ms;3.5 G;canter;647 m/min;15 cm;5.93 m;S;1.8 º (R);-1.5 º (F);3018.31;
1108;584.32;510 ms;2.8 G;canter;647 m/min;13 cm;5.5 m;S;5.2 º (R);-1.6 º (F);2284.01;
1109;584.82;500 ms;2.6 G;canter;602 m/min;13 cm;5.02 m;R;6.1 º (R);-0.4 º (F);2054.43;
1110;585.37;550 ms;2.9 G;canter;607 m/min;15 cm;5.56 m;S;3.5 º (R);0 º (B);2645.14;
1111;585.86;490 ms;3.2 G;canter;615 m/min;12 cm;5.03 m;R;4.8 º (R);-3 º (F);1710.47;
1112;586.38;520 ms;4.1 G;canter;534 m/min;11 cm;4.63 m;R;7.4 º (R);1.7 º (B);1852.72;
1113;586.89;510 ms;3.9 G;canter;520 m/min;10 cm;4.42 m;R;9.1 º (R);-1.8 º (F);2155.72;
1114;587.4;510 ms;4.5 G;canter;568 m/min;13 cm;4.83 m;R;5.6 º (R);-1.6 º (F);2320.9;
1115;587.95;550 ms;4.4 G;canter;607 m/min;18 cm;5.57 m;R;6.3 º (R);-2.2 º (F);2943.95;
1116;588.5;550 ms;4.1 G;canter;569 m/min;18 cm;5.21 m;R;5.8 º (R);0.3 º (B);2785.05;
1117;588.98;480 ms;3.7 G;canter;551 m/min;11 cm;4.41 m;R;7.9 º (R);-2.6 º (F);1530.58;
1118;589.48;500 ms;3.9 G;canter;537 m/min;11 cm;4.47 m;R;10.3 º (R);-3.8 º (F);2023.38;
1119;589.96;480 ms;3 G;canter;536 m/min;7 cm;4.29 m;R;9.9 º (R);-3.8 º (F);1846.14;
1120;590.53;570 ms;4.2 G;canter;556 m/min;13 cm;5.28 m;R;6.5 º (R);-3.3 º (F);2692.49;
1121;590.97;440 ms;3.3 G;canter;578 m/min;7 cm;4.24 m;R;5.1 º (R);-1.7 º (F);1452.31;
1122;591.37;400 ms;2.9 G;canter;554 m/min;8 cm;3.69 m;R;6.5 º (R);-3 º (F);1683.68;
1123;592.66;250 ms;3 G;canter;612 m/min;4 cm;2.55 m;S;0.6 º (R);-11.7 º (F);1801.62;
1124;593.2;540 ms;1.9 G;canter;614 m/min;6 cm;5.53 m;R;6.8 º (R);-4.5 º (F);1861.96;
1125;593.69;490 ms;3 G;canter;647 m/min;8 cm;5.29 m;R;3.7 º (R);-6.8 º (F);1814.11;
1126;594.25;560 ms;3.4 G;canter;643 m/min;12 cm;6 m;S;2.2 º (R);-4.6 º (F);2924.59;
1127;594.73;480 ms;2.8 G;canter;702 m/min;9 cm;5.61 m;S;2.3 º (R);-6.2 º (F);1718.99;
1128;595.22;490 ms;3.6 G;canter;643 m/min;8 cm;5.25 m;R;6.9 º (R);-2.3 º (F);2008.12;
1129;595.73;510 ms;3.8 G;canter;643 m/min;9 cm;5.46 m;R;4.9 º (R);-2.2 º (F);2176.85;
1130;596.22;490 ms;4.2 G;canter;629 m/min;9 cm;5.13 m;R;4.6 º (R);-2.1 º (F);2206.84;
1131;596.74;520 ms;4.6 G;canter;644 m/min;10 cm;5.58 m;R;4 º (R);-2.2 º (F);2498.72;
1132;597.3;560 ms;3.8 G;canter;599 m/min;15 cm;5.59 m;R;5.2 º (R);-1.8 º (F);3794.14;
1133;597.78;480 ms;3 G;canter;641 m/min;10 cm;5.13 m;R;1.8 º (R);-2.6 º (F);1446.63;
1134;598.26;480 ms;4 G;canter;640 m/min;10 cm;5.12 m;S;1.3 º (R);-2 º (F);2469.53;
1135;598.76;500 ms;4.6 G;canter;679 m/min;13 cm;5.66 m;S;0.4 º (R);-4.2 º (F);2832.91;
1136;599.31;550 ms;4.6 G;canter;665 m/min;15 cm;6.1 m;S;1.3 º (R);-2.3 º (F);3004.9;
1137;599.84;530 ms;4 G;canter;645 m/min;14 cm;5.7 m;S;0.1 º (R);-1 º (F);2835.62;
1138;600.36;520 ms;4.4 G;canter;641 m/min;14 cm;5.55 m;S;-3.1 º (L);1.3 º (B);3150.65;
1139;600.83;470 ms;3.8 G;canter;602 m/min;12 cm;4.72 m;L;-1.5 º (L);1 º (B);2217.87;
1140;601.35;520 ms;3.1 G;canter;599 m/min;14 cm;5.2 m;S;-1.4 º (L);1 º (B);2456.4;
1141;601.87;520 ms;3.2 G;canter;598 m/min;13 cm;5.18 m;S;-0.3 º (L);0.9 º (B);1963.35;
1142;602.42;550 ms;4.4 G;canter;555 m/min;15 cm;5.09 m;S;5 º (R);2.8 º (B);2300.4;
1143;602.95;530 ms;3.1 G;canter;508 m/min;15 cm;4.49 m;S;4.3 º (R);3.2 º (B);1653.38;
1144;603.46;510 ms;2.3 G;canter;542 m/min;13 cm;4.61 m;S;2 º (R);1.1 º (B);1704.24;
1145;604;540 ms;2.2 G;canter;559 m/min;16 cm;5.03 m;S;0.3 º (R);2.2 º (B);2111.38;
1146;604.51;510 ms;3.1 G;canter;548 m/min;13 cm;4.66 m;S;1.7 º (R);2.6 º (B);1938.33;
1147;604.97;460 ms;2.2 G;canter;494 m/min;11 cm;3.79 m;R;5.5 º (R);4.9 º (B);1021.23;
1148;605.44;470 ms;2.7 G;canter;472 m/min;11 cm;3.69 m;S;0.3 º (R);6.4 º (B);1339.27;
1149;605.88;440 ms;3 G;canter;483 m/min;10 cm;3.54 m;S;1.3 º (R);2.5 º (B);1154.62;
1150;607.02;40 ms;2.4 G;canter;572 m/min;0 cm;0.38 m;R;10.4 º (R);-27.5 º (F);392.1;
1151;607.32;300 ms;2.3 G;canter;520 m/min;3 cm;2.6 m;R;6.6 º (R);1 º (B);1484.52;
1152;607.79;470 ms;2 G;canter;522 m/min;4 cm;4.09 m;S;1.2 º (R);3.6 º (B);1356.13;
1153;608.24;450 ms;2.2 G;canter;552 m/min;5 cm;4.14 m;S;1.5 º (R);0.5 º (B);1601.5;
