Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;-5;Stride;0.15;-;4.35;3.29;492;4.39 (R) ;-0.28 (F) ;;1.86;
;-4;Stride;0.18;-;4.38;8.17;487;4.54 (R) ;1.93 (B) ;;3;
;-3;Stride;0.16;-;4.23;7.53;453;1.28 (R) ;8.4 (B) ;;3.89;
;-2;Stride;0.12;-;3.58;1.52;439;2.48 (R) ;5.89 (B) ;;1.37;
;-1;Stride;0.11;-;3.02;3.98;431;2.79 (R) ;0.11 (B) ;;2.04;
1;6;Jump;-;1.6;6.58;7.29;383;-5.78 (L) ;undefined ;33.27;6.34;
;1;Stride;0.07;-;2.04;2.9;472;2.45 (R) ;-13.69 (F) ;;1.64;
;2;Stride;0.06;-;3.78;3.68;412;2.42 (R) ;-0.16 (F) ;;1.75;
;3;Stride;0.05;-;3.9;2.84;498;5.92 (R) ;-4.14 (F) ;;1.72;
;4;Stride;0.08;-;4.48;3.79;537;5.13 (R) ;-5.01 (F) ;;2.43;
;5;Stride;0.1;-;4.77;3.29;584;1.91 (R) ;-5.17 (F) ;;3.19;
;-5;Stride;0.15;-;5.07;5.24;585;2.27 (R) ;0.78 (B) ;;2.97;
;-4;Stride;0.17;-;5.07;4.82;564;6.19 (R) ;9.89 (B) ;;3.2;
;-3;Stride;0.16;-;4.31;5.69;488;3.57 (R) ;9.38 (B) ;;3.84;
;-2;Stride;0.1;-;3.5;2.78;466;1.52 (R) ;13.54 (B) ;;1.16;
;-1;Stride;0.08;-;2.71;4.88;417;2.94 (R) ;9.27 (B) ;;1.55;
2;7;Jump;-;1.74;6.91;7.09;364;5.21 (R) ;undefined ;37.67;7.51;
;1;Stride;0.07;-;1.66;2.17;434;-3.22 (L) ;-15.58 (F) ;;1.49;
;2;Stride;0.07;-;4.01;2.43;422;7.79 (R) ;0.5 (B) ;;2.21;
;3;Stride;0.06;-;3.98;1.6;520;9.8 (R) ;-4.07 (F) ;;1.55;
;4;Stride;0.07;-;4.94;3.01;604;12.39 (R) ;-5.91 (F) ;;2.9;
;5;Stride;0.07;-;4.76;3.52;634;10.12 (R) ;-5.51 (F) ;;2.46;
;-5;Stride;0.12;-;4.29;4.83;548;1.43 (R) ;-4.54 (F) ;;2.6;
;-4;Stride;0.15;-;5.04;4.68;571;-0.01 (L) ;1.11 (B) ;;3.21;
;-3;Stride;0.15;-;4.97;7.26;563;-1.86 (L) ;4.44 (B) ;;3.72;
;-2;Stride;0.12;-;4.01;6.98;523;0.23 (R) ;7.68 (B) ;;1.84;
;-1;Stride;0.13;-;3.48;5.76;464;2.31 (R) ;3.26 (B) ;;2.05;
3;8;Jump;-;1.68;8.02;7.12;446;-0.22 (L) ;undefined ;33.5;8.07;
;1;Stride;0.05;-;2.12;2.27;552;4.46 (R) ;-16.36 (F) ;;1.65;
;2;Stride;0.07;-;4.37;1.81;514;-3.55 (L) ;-5.31 (F) ;;1.8;
;3;Stride;0.07;-;4.91;2;589;-4.82 (L) ;-6.69 (F) ;;1.69;
;4;Stride;0.09;-;5.05;3.11;594;-1.46 (L) ;-4.74 (F) ;;2.88;
;5;Stride;0.1;-;5.36;4.76;631;1.23 (R) ;-8.17 (F) ;;3.09;
;-5;Stride;0.16;-;4.67;3.99;538;2.79 (R) ;3.01 (B) ;;2.98;
;-4;Stride;0.18;-;4.54;6.14;486;1.59 (R) ;4.93 (B) ;;3.43;
;-3;Stride;0.18;-;4.5;5.72;466;0.72 (R) ;3.68 (B) ;;4.03;
;-2;Stride;0.12;-;3.79;2.32;474;-1.64 (L) ;0.09 (B) ;;1.68;
;-1;Stride;0.12;-;3.47;5.63;473;1.34 (R) ;-0.42 (F) ;;2.6;
4;9;Jump;-;1.71;7.66;7.07;422;0.49 (R) ;undefined ;35.17;7.47;
;1;Stride;0.11;-;2.51;2.07;538;6.67 (R) ;-15.57 (F) ;;1.93;
;2;Stride;0.09;-;4.39;2.17;479;-5.89 (L) ;-2.26 (F) ;;2.4;
;3;Stride;0.08;-;4.01;1.75;502;-6.64 (L) ;-5.03 (F) ;;1.5;
;4;Stride;0.12;-;5.26;4.98;574;-3.15 (L) ;-6.77 (F) ;;3.86;
;5;Stride;0.12;-;4.78;3.33;585;1.57 (R) ;-6.64 (F) ;;2.34;
;-5;Stride;0.18;-;4.31;3.76;462;-6.68 (L) ;-2.03 (F) ;;2.66;
;-4;Stride;0.14;-;3.55;4.18;435;-5.74 (L) ;-3.54 (F) ;;2.21;
;-3;Stride;0.16;-;4.06;5.31;427;-2.89 (L) ;3.4 (B) ;;2.48;
;-2;Stride;0.14;-;3.85;3.98;445;1.59 (R) ;4.37 (B) ;;1.73;
;-1;Stride;0.09;-;3.08;4.65;419;-0.84 (L) ;-3.19 (F) ;;1.88;
5a;10;Jump;-;1.74;7.7;5.38;416;-2.31 (L) ;undefined ;32.19;7.04;
;1;Stride;0.13;-;2.41;1.54;517;-6.59 (L) ;-20.3 (F) ;;1.29;
