Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
3169;1652.53;810 ms;0.4 G;canter;67 m/min;3 cm;0.9 m;S;-0.5 º (L);-4.6 º (F);6;
3170;1652.84;310 ms;1.1 G;canter;92 m/min;3 cm;0.47 m;L;-4.9 º (L);5.6 º (B);132.34;
3171;1653.45;610 ms;1 G;canter;77 m/min;7 cm;0.79 m;S;-1.8 º (L);6.1 º (B);595.62;
3172;1653.8;350 ms;1.1 G;canter;146 m/min;5 cm;0.85 m;R;7.5 º (R);1.4 º (B);245.49;
3173;1654.37;570 ms;1.7 G;canter;206 m/min;9 cm;1.96 m;R;17 º (R);-4.2 º (F);625.28;
3174;1654.79;420 ms;1.3 G;canter;281 m/min;6 cm;1.97 m;R;11.1 º (R);-1.7 º (F);536.19;
3175;1655.27;480 ms;1.7 G;canter;344 m/min;5 cm;2.75 m;R;6.7 º (R);-0.9 º (F);733.38;
3176;1655.89;620 ms;2.2 G;canter;435 m/min;5 cm;4.5 m;R;6 º (R);-1.6 º (F);1205.39;
3177;1656.37;480 ms;2.8 G;canter;500 m/min;8 cm;4 m;R;4 º (R);-6.8 º (F);1182.41;
3178;1656.9;530 ms;4.4 G;canter;500 m/min;13 cm;4.42 m;R;4.4 º (R);-1.8 º (F);2221.9;
3179;1657.38;480 ms;3.4 G;canter;492 m/min;12 cm;3.94 m;R;4.6 º (R);-2.3 º (F);1744.59;
3180;1657.92;540 ms;4.2 G;canter;511 m/min;16 cm;4.6 m;R;4.4 º (R);-2.4 º (F);2370.81;
3181;1658.49;570 ms;4.6 G;canter;480 m/min;19 cm;4.56 m;R;7.6 º (R);0.8 º (B);2117.43;
3182;1659.02;530 ms;3.3 G;canter;492 m/min;15 cm;4.35 m;R;4.4 º (R);-0.3 º (F);1388.94;
3183;1659.56;540 ms;8.2 G;canter;487 m/min;18 cm;4.38 m;R;4.5 º (R);1.9 º (B);2240.86;
3184;1660.12;560 ms;7.5 G;canter;453 m/min;16 cm;4.23 m;S;1.3 º (R);8.4 º (B);2905.12;
3185;1660.61;490 ms;1.5 G;canter;439 m/min;12 cm;3.58 m;S;2.5 º (R);5.9 º (B);1021.02;
3186;1661.03;420 ms;4 G;canter;431 m/min;11 cm;3.02 m;R;2.8 º (R);0.1 º (B);1520.48;
3187;1662.32;260 ms;2.9 G;canter;472 m/min;7 cm;2.04 m;S;2.5 º (R);-13.7 º (F);1225.97;
3188;1662.87;550 ms;3.7 G;canter;412 m/min;6 cm;3.78 m;R;2.4 º (R);-0.2 º (F);1305.59;
3189;1663.34;470 ms;2.8 G;canter;498 m/min;5 cm;3.9 m;R;5.9 º (R);-4.1 º (F);1284.42;
3190;1663.84;500 ms;3.8 G;canter;537 m/min;8 cm;4.48 m;R;5.1 º (R);-5 º (F);1817.5;
3191;1664.33;490 ms;3.3 G;canter;584 m/min;10 cm;4.77 m;R;1.9 º (R);-5.2 º (F);2383.12;
3192;1664.85;520 ms;2.4 G;canter;571 m/min;10 cm;4.95 m;S;2.7 º (R);-0.8 º (F);1716.06;
3193;1665.37;520 ms;4.7 G;canter;605 m/min;8 cm;5.24 m;S;-0.7 º (L);-3.2 º (F);2688.72;
3194;1665.83;460 ms;4.3 G;canter;631 m/min;8 cm;4.84 m;S;1.4 º (R);-6.2 º (F);1953.11;
3195;1666.35;520 ms;4 G;canter;654 m/min;10 cm;5.67 m;S;3.3 º (R);-5.2 º (F);2847.29;
3196;1666.86;510 ms;4.8 G;canter;629 m/min;10 cm;5.35 m;S;1.5 º (R);-3.2 º (F);2562.08;
3197;1667.36;500 ms;5.3 G;canter;652 m/min;11 cm;5.44 m;S;2.1 º (R);-5.3 º (F);2832.4;
3198;1667.86;500 ms;7.2 G;canter;638 m/min;11 cm;5.31 m;S;0.9 º (R);-3.3 º (F);3097.58;
3199;1668.39;530 ms;8.2 G;canter;649 m/min;11 cm;5.73 m;S;0.7 º (R);-3 º (F);2948.47;
3200;1668.85;460 ms;6.5 G;canter;663 m/min;10 cm;5.08 m;S;2 º (R);-6.4 º (F);2767.11;
3201;1669.42;570 ms;7.9 G;canter;655 m/min;12 cm;6.23 m;S;1.2 º (R);-2.9 º (F);4268.19;
3202;1669.87;450 ms;4.2 G;canter;688 m/min;9 cm;5.16 m;S;2.6 º (R);-6 º (F);1649.7;
3203;1670.42;550 ms;8.5 G;canter;663 m/min;15 cm;6.07 m;S;1.3 º (R);-3.1 º (F);3892.42;
3204;1670.92;500 ms;7.4 G;canter;664 m/min;10 cm;5.53 m;S;1.9 º (R);-3.5 º (F);2540;
3205;1671.47;550 ms;6.1 G;canter;635 m/min;13 cm;5.82 m;S;3.2 º (R);-2 º (F);2953.85;
3206;1671.99;520 ms;7.7 G;canter;621 m/min;15 cm;5.38 m;R;3.7 º (R);-2.7 º (F);3191.15;
3207;1672.54;550 ms;5.9 G;canter;614 m/min;13 cm;5.63 m;R;4 º (R);-0.4 º (F);3531.55;
3208;1673.01;470 ms;4 G;canter;583 m/min;11 cm;4.57 m;R;1.7 º (R);-1 º (F);1398.41;
3209;1673.61;600 ms;8.2 G;canter;561 m/min;21 cm;5.61 m;S;1.7 º (R);1.3 º (B);3343.92;
3210;1674.13;520 ms;5.2 G;canter;585 m/min;15 cm;5.07 m;S;2.3 º (R);0.8 º (B);2220.69;
3211;1674.67;540 ms;4.8 G;canter;564 m/min;17 cm;5.07 m;R;6.2 º (R);9.9 º (B);2389.17;
3212;1675.2;530 ms;5.7 G;canter;488 m/min;16 cm;4.31 m;S;3.6 º (R);9.4 º (B);2867.4;
3213;1675.65;450 ms;2.8 G;canter;466 m/min;10 cm;3.5 m;S;1.5 º (R);13.5 º (B);863.46;
3214;1676.04;390 ms;4.9 G;canter;417 m/min;8 cm;2.71 m;S;2.9 º (R);9.3 º (B);1157.75;
3215;1677.41;230 ms;2.2 G;canter;434 m/min;7 cm;1.66 m;S;-3.2 º (L);-15.6 º (F);1110.34;
3216;1677.98;570 ms;2.4 G;canter;422 m/min;7 cm;4.01 m;R;7.8 º (R);0.5 º (B);1652.01;
3217;1678.44;460 ms;1.6 G;canter;520 m/min;6 cm;3.98 m;R;9.8 º (R);-4.1 º (F);1160.4;
3218;1678.93;490 ms;3 G;canter;604 m/min;7 cm;4.94 m;R;12.4 º (R);-5.9 º (F);2163.7;
3219;1679.38;450 ms;3.5 G;canter;634 m/min;7 cm;4.76 m;R;10.1 º (R);-5.5 º (F);1836.17;
3220;1679.88;500 ms;3.6 G;canter;673 m/min;8 cm;5.61 m;R;7.9 º (R);-7.3 º (F);2631.38;
3221;1680.38;500 ms;3.1 G;canter;652 m/min;11 cm;5.43 m;R;8.2 º (R);-5.7 º (F);2720.46;
3222;1680.9;520 ms;5 G;canter;651 m/min;12 cm;5.64 m;R;9.3 º (R);-4.5 º (F);3042.81;
3223;1681.4;500 ms;4.8 G;canter;672 m/min;12 cm;5.6 m;R;7.8 º (R);-5.3 º (F);3007.84;
3224;1681.92;520 ms;6.2 G;canter;674 m/min;12 cm;5.84 m;R;8.3 º (R);-4.3 º (F);3902.75;
3225;1682.43;510 ms;3.7 G;canter;649 m/min;12 cm;5.51 m;R;5.8 º (R);-4.1 º (F);2277.64;
3226;1682.94;510 ms;6.2 G;canter;644 m/min;12 cm;5.47 m;R;3.6 º (R);-4.1 º (F);2995.8;
3227;1683.44;500 ms;5.1 G;canter;593 m/min;12 cm;4.94 m;R;2.1 º (R);-2.4 º (F);2665.1;
3228;1683.99;550 ms;6.1 G;canter;578 m/min;16 cm;5.3 m;R;2.1 º (R);-3.8 º (F);2990.48;
3229;1684.53;540 ms;5.4 G;canter;613 m/min;14 cm;5.51 m;R;2.4 º (R);-6.9 º (F);2409.41;
3230;1685.02;490 ms;5.1 G;canter;614 m/min;12 cm;5.02 m;S;-1.9 º (L);-5.9 º (F);2637.4;
3231;1685.52;500 ms;4.3 G;canter;690 m/min;12 cm;5.75 m;S;0.2 º (R);-7.8 º (F);2905.15;
3232;1686.06;540 ms;4.5 G;canter;655 m/min;13 cm;5.9 m;R;4.8 º (R);-6 º (F);3553.03;
3233;1686.56;500 ms;4 G;canter;617 m/min;13 cm;5.14 m;R;4.5 º (R);-5.1 º (F);2311.33;
3234;1687.14;580 ms;4.7 G;canter;602 m/min;16 cm;5.82 m;R;3.2 º (R);-4.7 º (F);3752.15;
3235;1687.63;490 ms;4 G;canter;570 m/min;11 cm;4.66 m;S;-0.5 º (L);-5.3 º (F);1698.89;
3236;1688.22;590 ms;7.3 G;canter;511 m/min;20 cm;5.03 m;S;2.2 º (R);-2.1 º (F);3310.83;
3237;1688.75;530 ms;3.3 G;canter;555 m/min;12 cm;4.91 m;S;0.4 º (R);-5.2 º (F);2056.76;
3238;1689.22;470 ms;4.8 G;canter;548 m/min;12 cm;4.29 m;S;1.4 º (R);-4.5 º (F);1939.74;
