rider,horse,time,distance,gait,speed,length,max_height,hand,lateral_balance,longitudinal_balance,jump_id
Sofia Sjöborg,Bryjamolga van het Marienshof Z,0.55,0.94,canter,103,0.94,0.07,R,6.5,4.4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,1.0200000000000273,1.5,canter,71,0.56,0.06,R,12.1,-0.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,1.559999999999991,2.17,canter,74,0.67,0.05,R,5.4,8.8,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,2.020000000000027,3.3899999999999997,canter,159,1.22,0.04,R,3.4,12.5,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,2.7000000000000908,6.72,canter,294,3.33,0.06,S,-0.4,16.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,3.2200000000000726,10.55,canter,442,3.83,0.06,L,-10.7,9.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,3.660000000000127,14.23,canter,502,3.68,0.06,L,-10.5,6.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,4.220000000000073,19.32,canter,545,5.09,0.15,L,-10.6,9.3,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,4.770000000000027,24.72,canter,589,5.4,0.14,L,-10.7,5.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,5.290000000000009,29.64,canter,567,4.92,0.14,L,-7.2,3,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,5.849999999999954,34.77,canter,549,5.13,0.18,S,-1.2,1.5,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,6.379999999999927,39.190000000000005,canter,500,4.42,0.12,S,2.9,1.4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,6.879999999999927,42.940000000000005,canter,450,3.75,0.08,S,0.1,-0.4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,7.369999999999936,46.63,canter,451,3.69,0.09,R,1.8,-5.5,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,7.809999999999991,50.46,canter,522,3.83,0.11,S,0.5,-3.4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,8.759815498154968,59.04,Jump,542,8.58,1.58,NA,-2.37,NA,1
Sofia Sjöborg,Bryjamolga van het Marienshof Z,9.04000000000001,61.29,canter,482,2.25,0.04,S,1.4,-1.1,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,9.579999999999973,65.45,canter,463,4.16,0.05,R,9.2,2.5,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,10.079999999999973,69.65,canter,504,4.2,0.07,R,8.2,0.8,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,10.599999999999955,74.27000000000001,canter,533,4.62,0.1,R,9.3,1.5,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,11.089999999999964,79.09,canter,590,4.82,0.09,R,4.1,1.7,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,11.609999999999946,84.41,canter,614,5.32,0.08,S,-0.2,2.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,12.109999999999946,89.86,canter,654,5.45,0.1,L,-2.5,1.4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,12.650000000000137,95.72,canter,651,5.86,0.12,S,-1,0.4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,13.150000000000137,101.17,canter,654,5.45,0.08,S,4.6,0.7,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,13.68000000000011,106.77,canter,634,5.6,0.13,R,6.1,-1.4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,14.200000000000092,112.25999999999999,canter,634,5.49,0.1,R,5.6,-2.8,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,14.710000000000083,118.08999999999999,canter,686,5.83,0.11,R,4.8,-1.7,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,15.210000000000083,123.83999999999999,canter,690,5.75,0.1,R,7.7,-3.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,15.770000000000028,129.95,canter,655,6.11,0.13,R,9.9,-1.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,16.250000000000046,135.16,canter,651,5.21,0.1,R,6.6,-6.7,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,16.8,141.02,canter,640,5.86,0.16,R,6.3,-5.1,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,17.29000000000001,146.09,canter,620,5.07,0.12,R,10.3,-8.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,17.859999999999946,151.71,canter,592,5.62,0.16,R,7.2,-7.7,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,18.369999999999937,156.56,canter,571,4.85,0.12,R,3.7,-8.1,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,18.93000000000011,162.03,canter,586,5.47,0.15,R,5.7,-6.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,19.410000000000128,166.18,canter,519,4.15,0.08,R,7.2,-11.1,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,19.980000000000064,171.26000000000002,canter,535,5.08,0.19,R,4.7,-8.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,20.520000000000028,176.35000000000002,canter,566,5.09,0.16,R,3.2,-7.5,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,21.069999999999983,181.14000000000001,canter,523,4.79,0.12,R,4.8,-9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,21.500000000000046,184.69000000000003,canter,496,3.55,0.09,R,1.5,-13.1,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,22.079999999999973,189.71000000000004,canter,519,5.02,0.17,S,0.1,-4.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,22.520000000000028,193.71000000000004,canter,545,4,0.1,S,-5.2,-5.7,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,23.56946619217074,203.54000000000005,Jump,562,9.83,1.67,NA,-5.61,NA,2
Sofia Sjöborg,Bryjamolga van het Marienshof Z,23.760000000000037,205.05000000000004,canter,476,1.51,0.06,L,-8.4,-17.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,24.319999999999983,209.81000000000003,canter,510,4.76,0.08,S,2.2,-2.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,24.8,214.04000000000002,canter,529,4.23,0.09,R,5.2,-5,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,25.329999999999973,218.97000000000003,canter,559,4.93,0.1,R,4.6,-2.2,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,25.839999999999964,224.14000000000001,canter,608,5.17,0.09,S,-1.3,-1.3,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,26.329999999999973,229.59,canter,668,5.45,0.08,L,-6.6,-0.4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,26.849999999999955,235.57,canter,690,5.98,0.09,L,-8.2,-1.8,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,27.359999999999946,241.41,canter,687,5.84,0.1,S,-3.1,-5,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,27.859999999999946,246.7,canter,634,5.29,0.1,R,1.7,-4.7,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,28.410000000000128,252.72,canter,657,6.02,0.14,S,1.7,-4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,28.900000000000137,258.3,canter,683,5.58,0.09,S,2.6,-4.3,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,29.43000000000011,264.17,canter,665,5.87,0.11,R,3.7,-3.8,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,29.980000000000064,270.02000000000004,canter,638,5.85,0.11,R,4.5,-2.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,30.500000000000046,275.97,canter,687,5.95,0.11,S,3,-2.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,30.970000000000073,281.18,canter,665,5.21,0.1,R,6,-4.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,31.480000000000064,286.87,canter,670,5.69,0.13,R,6.9,-3,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,32.030000000000015,292.68,canter,634,5.81,0.13,R,6.3,-2.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,32.520000000000024,297.90000000000003,canter,639,5.22,0.12,R,6.6,-2.3,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,33.020000000000024,303.12000000000006,canter,627,5.22,0.11,R,6.7,-1.1,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,33.530000000000015,308.50000000000006,canter,633,5.38,0.12,R,7.3,-0.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,34.08999999999996,314.45000000000005,canter,637,5.95,0.14,R,8.7,0.3,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,34.60999999999994,319.77000000000004,canter,614,5.32,0.13,R,12.3,0.3,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,35.160000000000124,325.74000000000007,canter,651,5.97,0.14,R,13.4,5.7,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,35.61999999999993,330.33000000000004,canter,599,4.59,0.08,R,12.3,0.7,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,36.150000000000134,335.32000000000005,canter,565,4.99,0.15,R,12,3.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,36.58999999999996,339.44000000000005,canter,562,4.12,0.1,R,13.8,1.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,37.61988505747131,348.40000000000003,Jump,522,8.96,1.67,NA,10.91,NA,3
Sofia Sjöborg,Bryjamolga van het Marienshof Z,37.920000000000115,350.51000000000005,canter,421,2.11,0.06,R,12.3,-2.3,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,38.400000000000134,354.26000000000005,canter,469,3.75,0.06,R,10.7,0.2,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,38.910000000000124,358.56000000000006,canter,505,4.3,0.09,R,5.8,2,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,39.430000000000106,363.46000000000004,canter,565,4.9,0.1,S,-1,3.9,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,39.9400000000001,368.75000000000006,canter,623,5.29,0.08,S,0,5.7,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,40.420000000000115,373.86000000000007,canter,638,5.11,0.08,R,5.4,5.4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,40.9400000000001,379.5800000000001,canter,660,5.72,0.09,R,5.1,7.2,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,41.45000000000009,385.2900000000001,canter,671,5.71,0.1,R,4.7,5.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,41.98000000000006,391.30000000000007,canter,680,6.01,0.1,R,6.6,3.3,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,42.49000000000005,397.00000000000006,canter,670,5.7,0.09,R,4.7,0.6,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,42.99000000000005,402.74000000000007,canter,689,5.74,0.09,S,0.4,-1.8,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,43.49000000000005,408.77000000000004,canter,723,6.03,0.12,S,-1.1,0.4,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,43.99000000000005,414.84000000000003,canter,729,6.07,0.1,L,-3,-2.1,NA
Sofia Sjöborg,Bryjamolga van het Marienshof Z,44.510000000000034,421.27000000000004,canter,742,6.43,0.11,S,0.3,1.5,NA
